yourlist:M20190514216DA2B77BFBD2E6699CA9B6D1C41EB217BE5C9	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
1g57	P0A7J0	RIBB_ECOLI	reviewed	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	ribB htrP b3041 JW3009	Escherichia coli (strain K12)	217
1g60	P23192	MTM2_MORBO	reviewed	Modification methylase MboII (M.MboII) (EC 2.1.1.72) (Adenine-specific methyltransferase MboII) (DNA MTase MboIIA)	mboIIM	Moraxella bovis	260
1g6y	P23202	URE2_YEAST	reviewed	Transcriptional regulator URE2 (Disulfide reductase) (EC 1.8.4.-) (Glutathione peroxidase) (EC 1.11.1.9)	URE2 YNL229C N1165	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	354
1g85	P07435	OBP_BOVIN	reviewed	Odorant-binding protein (OBP) (Olfactory mucosa pyrazine-binding protein)		Bos taurus (Bovine)	159
1g8s	Q58108	FLPA_METJA	reviewed	Fibrillarin-like rRNA/tRNA 2'-O-methyltransferase (EC 2.1.1.-)	flpA MJ0697	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	230
1gan	P56217	LEG1_RHIAE	reviewed	Galectin-1 (Gal-1)		Rhinella arenarum (Argentine common toad) (Bufo arenarum)	134
1gd9	O59096	O59096_PYRHO	unreviewed	Aminotransferase (EC 2.6.1.-)	PH1371	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	389
1gdh	P36234	DHGY_HYPME	reviewed	Glycerate dehydrogenase (GDH) (EC 1.1.1.29) (Glyoxylate reductase) (Hydroxypyruvate dehydrogenase) (NADH-dependent hydroxypyruvate reductase) (HPR)		Hyphomicrobium methylovorum	322
1gfl	P42212	GFP_AEQVI	reviewed	Green fluorescent protein	GFP	Aequorea victoria (Jellyfish)	238
1gfs	P32055	FCL_ECOLI	reviewed	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)	fcl wcaG yefB b2052 JW2037	Escherichia coli (strain K12)	321
1gnw	P46422	GSTF2_ARATH	reviewed	Glutathione S-transferase F2 (AtGSTF2) (EC 2.5.1.18) (24 kDa auxin-binding protein) (AtPM24) (GST class-phi member 2)	GSTF2 PM24.1 At4g02520 T10P11.18	Arabidopsis thaliana (Mouse-ear cress)	212
1gpe	P81156	GOX_PENAG	reviewed	Glucose oxidase (EC 1.1.3.4) (Beta-D-glucose:oxygen 1-oxido-reductase) (Glucose oxyhydrase) (GOD)		Penicillium amagasakiense	587
1gpr	P20166	PTG3C_BACSU	reviewed	PTS system glucose-specific EIICBA component (EC 2.7.1.199) (EII-Glc/EIII-Glc) (EIICBA-Glc) (EIICBA-Glc 1) [Includes: Glucose permease IIC component (PTS system glucose-specific EIIC component); Glucose-specific phosphotransferase enzyme IIB component (PTS system glucose-specific EIIB component); Glucose-specific phosphotransferase enzyme IIA component (PTS system glucose-specific EIIA component)]	ptsG crr ptsX BSU13890	Bacillus subtilis (strain 168)	699
1gpr	Q59250	Q59250_BACIU	unreviewed	Protein-N(Pi)-phosphohistidine-sugar phosphotransferase (EC 2.7.1.69)	ptsX	Bacillus subtilis	162
1gq1	P72181	NIRS_PARPN	reviewed	Nitrite reductase (EC 1.7.2.1) (Cytochrome cd1) (Cytochrome oxidase) (Hydroxylamine reductase) (EC 1.7.99.1)	nirS	Paracoccus pantotrophus (Thiosphaera pantotropha)	596
1gqa	P00148	CYCP_RHOS4	reviewed	Cytochrome c'	cycP RHOS4_20780 RSP_0474	Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158)	149
1gqk	B3PC73	AGUA_CELJU	reviewed	Extracellular xylan exo-alpha-(1->2)-glucuronosidase (EC 3.2.1.131) (Alpha-glucuronidase)	gla67A glcA67A CJA_2887	Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa)	732
1grt	P00390	GSHR_HUMAN	reviewed	Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)	GSR GLUR GRD1	Homo sapiens (Human)	522
1gu7	Q8WZM3	ETR1_CANTR	reviewed	Enoyl-[acyl-carrier-protein] reductase 1, mitochondrial (EC 1.3.1.104) (2-enoyl thioester reductase 1)	ETR1	Candida tropicalis (Yeast)	386
1gv3	Q8Z0M1	Q8Z0M1_NOSS1	unreviewed	Superoxide dismutase	all0070	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	270
1gvj	P14921	ETS1_HUMAN	reviewed	Protein C-ets-1 (p54)	ETS1 EWSR2	Homo sapiens (Human)	441
1gy8	Q8T8E9	Q8T8E9_9TRYP	unreviewed	UDP-galactose 4-epimerase (EC 5.1.3.2)	galE	Trypanosoma brucei	395
1h0c	P21549	SPYA_HUMAN	reviewed	Serine--pyruvate aminotransferase (SPT) (EC 2.6.1.51) (Alanine--glyoxylate aminotransferase) (AGT) (EC 2.6.1.44)	AGXT AGT1 SPAT	Homo sapiens (Human)	392
1h0x	P60849	ALBA1_SACS2	reviewed	DNA/RNA-binding protein Alba 1 (Sso10b)	albA1 sso10b SSO0962	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	97
1h1m	Q7SIC2	QDOI_ASPJA	reviewed	Quercetin 2,3-dioxygenase (EC 1.13.11.24) (2,3QD) (Flavonol 2,4-dioxygenase) (Quercetinase)		Aspergillus japonicus	350
1h1z	Q9SE42	RPE1_ORYSJ	reviewed	Ribulose-phosphate 3-epimerase, cytoplasmic isoform (EC 5.1.3.1) (Cyt-RPEase) (Pentose-5-phosphate 3-epimerase) (PPE) (RPEcyt) (Ribulose-5-phosphate-epimerase)	Os09g0505700 LOC_Os09g32810	Oryza sativa subsp. japonica (Rice)	228
1h4v	P62374	SYH_THET2	reviewed	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	hisS TT_C0360	Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039)	421
1h7g	P42216	KPSU5_ECOLX	reviewed	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (CKS) (CMP-KDO synthase)	kpsU	Escherichia coli	246
1h8x	P07998	RNAS1_HUMAN	reviewed	Ribonuclease pancreatic (EC 4.6.1.18) (HP-RNase) (RIB-1) (RNase UpI-1) (Ribonuclease 1) (RNase 1) (Ribonuclease A) (RNase A)	RNASE1 RIB1 RNS1	Homo sapiens (Human)	156
1h8y	Q51400	Q51400_PSEAI	unreviewed	Beta-lactamase (EC 3.5.2.6)	bla oxa-13	Pseudomonas aeruginosa	266
1h9r	P0A9G8	MODE_ECOLI	reviewed	DNA-binding transcriptional dual regulator ModE	modE modR b0761 JW0744	Escherichia coli (strain K12)	262
1ha4	P22914	CRYGS_HUMAN	reviewed	Gamma-crystallin S (Beta-crystallin S) (Gamma-S-crystallin)	CRYGS CRYG8	Homo sapiens (Human)	178
1hei	P27958	POLG_HCVH	reviewed	Genome polyprotein [Cleaved into: Core protein p21 (Capsid protein C) (p21); Core protein p19; Envelope glycoprotein E1 (gp32) (gp35); Envelope glycoprotein E2 (NS1) (gp68) (gp70); Viroporin p7; Protease NS2-3 (p23) (EC 3.4.22.-); Serine protease NS3 (EC 3.4.21.98) (EC 3.6.1.15) (EC 3.6.4.13) (Hepacivirin) (NS3P) (p70); Non-structural protein 4A (NS4A) (p8); Non-structural protein 4B (NS4B) (p27); Non-structural protein 5A (NS5A) (p56); RNA-directed RNA polymerase (EC 2.7.7.48) (NS5B) (p68)]		Hepatitis C virus genotype 1a (isolate H) (HCV)	3011
1hgx	P51900	HGXR_TRIFO	reviewed	Hypoxanthine-guanine-xanthine phosphoribosyltransferase (HGPRT) (HGXPRT) (HGXPRTase) (EC 2.4.2.22) (EC 2.4.2.8)	HPT	Tritrichomonas foetus (Trichomonas foetus) (Tritrichomonas suis)	183
1hlc	P05162	LEG2_HUMAN	reviewed	Galectin-2 (Gal-2) (Beta-galactoside-binding lectin L-14-II) (HL14) (Lactose-binding lectin 2) (S-Lac lectin 2)	LGALS2	Homo sapiens (Human)	132
1hlm	P80017	GLBD_MOLAR	reviewed	Globin D, coelomic		Molpadia arenicola (Sea cucumber) (Caudina arenicola)	159
1hn4	P00592	PA21B_PIG	reviewed	Phospholipase A2, major isoenzyme (EC 3.1.1.4) (Group IB phospholipase A2) (Phosphatidylcholine 2-acylhydrolase 1B)	PLA2G1B	Sus scrofa (Pig)	146
1hnd	P0A6R0	FABH_ECOLI	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III) (EcFabH)	fabH b1091 JW1077	Escherichia coli (strain K12)	317
1hqv	P12815	PDCD6_MOUSE	reviewed	Programmed cell death protein 6 (ALG-257) (Apoptosis-linked gene 2 protein) (ALG-2) (PMP41)	Pdcd6 Alg2	Mus musculus (Mouse)	191
1ht9	P02633	S100G_BOVIN	reviewed	Protein S100-G (Calbindin-D9k) (S100 calcium-binding protein G) (Vitamin D-dependent calcium-binding protein, intestinal) (CABP)	S100G CALB3 S100D	Bos taurus (Bovine)	79
1huw	P01241	SOMA_HUMAN	reviewed	Somatotropin (Growth hormone) (GH) (GH-N) (Growth hormone 1) (Pituitary growth hormone)	GH1	Homo sapiens (Human)	217
1hw1	P0A8V6	FADR_ECOLI	reviewed	Fatty acid metabolism regulator protein	fadR oleR thdB b1187 JW1176	Escherichia coli (strain K12)	239
1i0l	Q4DRC4	Q4DRC4_TRYCC	unreviewed	Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	Tc00.1047053509693.70	Trypanosoma cruzi (strain CL Brener)	241
1i1h	P21638	COBH_SINSX	reviewed	Precorrin-8X methylmutase (EC 5.4.99.61) (HBA synthase) (Precorrin isomerase)	cobH	Sinorhizobium sp.	210
1i2c	O48917	SQD1_ARATH	reviewed	UDP-sulfoquinovose synthase, chloroplastic (EC 3.13.1.1) (Sulfite:UDP-glucose sulfotransferase) (Sulfolipid biosynthesis protein)	SQD1 At4g33030 F26P21.150	Arabidopsis thaliana (Mouse-ear cress)	477
1i2l	P28305	PABC_ECOLI	reviewed	Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL)	pabC b1096 JW1082	Escherichia coli (strain K12)	269
1i3l	Q14376	GALE_HUMAN	reviewed	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-N-acetylgalactosamine 4-epimerase) (UDP-GalNAc 4-epimerase) (UDP-N-acetylglucosamine 4-epimerase) (UDP-GlcNAc 4-epimerase) (EC 5.1.3.7) (UDP-galactose 4-epimerase)	GALE	Homo sapiens (Human)	348
1i4u	P80029	CRC1_HOMGA	reviewed	Crustacyanin-C1 subunit		Homarus gammarus (European lobster) (Homarus vulgaris)	181
1i52	Q46893	ISPD_ECOLI	reviewed	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (CDP-ME synthase) (MEP cytidylyltransferase) (MCT)	ispD ygbP b2747 JW2717	Escherichia coli (strain K12)	236
1i58	Q56310	CHEA_THEMA	reviewed	Chemotaxis protein CheA (EC 2.7.13.3)	cheA TM_0702	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	671
1i69	P0ACQ4	OXYR_ECOLI	reviewed	Hydrogen peroxide-inducible genes activator (Morphology and auto-aggregation control protein)	oxyR momR mor b3961 JW3933	Escherichia coli (strain K12)	305
1iam	P05362	ICAM1_HUMAN	reviewed	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)	ICAM1	Homo sapiens (Human)	532
1icw	P10145	IL8_HUMAN	reviewed	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]	CXCL8 IL8	Homo sapiens (Human)	99
1ie0	O34667	LUXS_BACSU	reviewed	S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS)	luxS ytjB BSU30670	Bacillus subtilis (strain 168)	157
1ig0	P35202	THI80_YEAST	reviewed	Thiamine pyrophosphokinase (TPK) (Thiamine kinase) (EC 2.7.6.2)	THI80 YOR143C YOR3373C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	319
1ihk	P31371	FGF9_HUMAN	reviewed	Fibroblast growth factor 9 (FGF-9) (Glia-activating factor) (GAF) (Heparin-binding growth factor 9) (HBGF-9)	FGF9	Homo sapiens (Human)	208
1ii2	P51058	PCKA_TRYCR	reviewed	Phosphoenolpyruvate carboxykinase (ATP), glycosomal (EC 4.1.1.49)	PEPCK	Trypanosoma cruzi	472
1ii5	P73797	P73797_SYNY3	unreviewed	Slr1257 protein	slr1257	Synechocystis sp. (strain PCC 6803 / Kazusa)	397
1ima	P29218	IMPA1_HUMAN	reviewed	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)	IMPA1 IMPA	Homo sapiens (Human)	277
1iom	Q5SIM6	Q5SIM6_THET8	unreviewed	Citrate synthase	TTHA1343	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	377
1ipe	P50163	TRN2_DATST	reviewed	Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)	TR2	Datura stramonium (Jimsonweed) (Common thornapple)	260
1is3	Q9YIC2	LEG2_CONMY	reviewed	Congerin-2 (Beta-galactoside-binding lectin 2) (Congerin II)		Conger myriaster (Conger eel)	136
1iug	P83786	P83786_THETH	unreviewed	Aspartate aminotransferase (EC 2.6.1.1)		Thermus thermophilus	352
1iuj	P83693	P83693_THETH	unreviewed	TT1380 protein		Thermus thermophilus	106
1iuo	P96965	P96965_PSEFL	unreviewed	2-hydroxy-6-oxo-7-methylocta-2,4-dienoate hydrolase	cumD	Pseudomonas fluorescens	282
1ivy	P10619	PPGB_HUMAN	reviewed	Lysosomal protective protein (EC 3.4.16.5) (Carboxypeptidase C) (Carboxypeptidase L) (Cathepsin A) (Protective protein cathepsin A) (PPCA) (Protective protein for beta-galactosidase) [Cleaved into: Lysosomal protective protein 32 kDa chain; Lysosomal protective protein 20 kDa chain]	CTSA PPGB	Homo sapiens (Human)	480
1iyz	Q8L3C8	Q8L3C8_THETH	unreviewed	Probable quinone oxidoreductase (EC 1.6.5.5)		Thermus thermophilus	302
1iz3	Q9NWT6	HIF1N_HUMAN	reviewed	Hypoxia-inducible factor 1-alpha inhibitor (EC 1.14.11.30) (EC 1.14.11.n4) (Factor inhibiting HIF-1) (FIH-1) (Hypoxia-inducible factor asparagine hydroxylase)	HIF1AN FIH1	Homo sapiens (Human)	349
1j1b	P49841	GSK3B_HUMAN	reviewed	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	GSK3B	Homo sapiens (Human)	420
1j1i	Q84II3	Q84II3_JANS3	unreviewed	Meta cleavage compound hydrolase	carC	Janthinobacterium sp. (strain J3)	290
1j32	Q8RR70	Q8RR70_PHOLP	unreviewed	Aminotransferase (EC 2.6.1.-)	aspC	Phormidium lapideum	388
1j55	P25815	S100P_HUMAN	reviewed	Protein S100-P (Migration-inducing gene 9 protein) (MIG9) (Protein S100-E) (S100 calcium-binding protein P)	S100P S100E	Homo sapiens (Human)	95
1j5p	Q9X1X6	ASPD_THEMA	reviewed	L-aspartate dehydrogenase (EC 1.4.1.21)	nadX TM_1643	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	241
1j6w	P44007	LUXS_HAEIN	reviewed	S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS)	luxS HI_0491	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	167
1j6x	Q9ZMW8	LUXS_HELPJ	reviewed	S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS)	luxS jhp_0097	Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99)	152
1j93	Q42967	DCUP_TOBAC	reviewed	Uroporphyrinogen decarboxylase, chloroplastic (UPD) (URO-D) (EC 4.1.1.37)	DCUP	Nicotiana tabacum (Common tobacco)	391
1ja3	Q9JHN9	Q9JHN9_MOUSE	unreviewed	MHC class I recognition receptor Ly49I (Natural killer cell receptor Ly49C)		Mus musculus (Mouse)	266
1jd0	O43570	CAH12_HUMAN	reviewed	Carbonic anhydrase 12 (EC 4.2.1.1) (Carbonate dehydratase XII) (Carbonic anhydrase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3)	CA12	Homo sapiens (Human)	354
1jez	O74237	XYL1_CANTE	reviewed	NAD(P)H-dependent D-xylose reductase (XR) (EC 1.1.1.307)	XYL1 XYLR	Candida tenuis (Yeast) (Yamadazyma tenuis)	322
1jf9	P77444	SUFS_ECOLI	reviewed	Cysteine desulfurase (EC 2.8.1.7) (Selenocysteine beta-lyase) (SCL) (Selenocysteine lyase) (EC 4.4.1.16) (Selenocysteine reductase)	sufS csdB ynhB b1680 JW1670	Escherichia coli (strain K12)	406
1jhd	Q54506	SAT_RIFPS	reviewed	Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)	sat sopT	Riftia pachyptila sulfur-oxidizing endosymbiont	437
1jhz	P0ACP7	PURR_ECOLI	reviewed	HTH-type transcriptional repressor PurR (Pur regulon repressor) (Purine nucleotide synthesis repressor)	purR b1658 JW1650	Escherichia coli (strain K12)	341
1jl9	P01133	EGF_HUMAN	reviewed	Pro-epidermal growth factor (EGF) [Cleaved into: Epidermal growth factor (Urogastrone)]	EGF	Homo sapiens (Human)	1207
1jld	P04584	POL_HV2RO	reviewed	Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.47) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	gag-pol	Human immunodeficiency virus type 2 subtype A (isolate ROD) (HIV-2)	1464
1jlw	Q7KIF1	Q7KIF1_9DIPT	unreviewed	Glutathione transferase (EC 2.5.1.18)	GST1	Anopheles cracens	219
1jm6	Q64536	PDK2_RAT	reviewed	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial (EC 2.7.11.2) (PDK P45) (Pyruvate dehydrogenase kinase isoform 2) (PDH kinase 2)	Pdk2	Rattus norvegicus (Rat)	407
1jpk	P06132	DCUP_HUMAN	reviewed	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	UROD	Homo sapiens (Human)	367
1jqx	A2RJT9	PYRDA_LACLM	reviewed	Dihydroorotate dehydrogenase A (fumarate) (DHOD A) (DHODase A) (DHOdehase A) (EC 1.3.98.1)	pyrDA llmg_0952	Lactococcus lactis subsp. cremoris (strain MG1363)	311
1jsg	P56279	TCL1A_HUMAN	reviewed	T-cell leukemia/lymphoma protein 1A (Oncogene TCL-1) (Oncogene TCL1) (Protein p14 TCL1)	TCL1A TCL1	Homo sapiens (Human)	114
1juo	P30626	SORCN_HUMAN	reviewed	Sorcin (22 kDa protein) (CP-22) (CP22) (V19)	SRI	Homo sapiens (Human)	198
1jxi	P55882	THID_SALTY	reviewed	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)	thiD STM2146	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	266
1jyq	P62993	GRB2_HUMAN	reviewed	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217
1k04	Q05397	FAK1_HUMAN	reviewed	Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)	PTK2 FAK FAK1	Homo sapiens (Human)	1052
1k2e	Q8ZTD8	Q8ZTD8_PYRAE	unreviewed	MutT/nudix family protein	PAE3301	Pyrobaculum aerophilum (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827)	146
1k38	P0A1V8	BLO2_SALTM	reviewed	Beta-lactamase OXA-2 (EC 3.5.2.6) (Penicillinase)	bla oxa2	Salmonella typhimurium	275
1k51	Q51912	Q51912_FINMA	unreviewed	Uncharacterized protein		Finegoldia magna (Peptostreptococcus magnus)	719
1k66	Q8RTM8	Q8RTM8_9CYAN	unreviewed	Response regulator	rcpB FDUTEX481_00770	Tolypothrix sp. PCC 7601	149
1k96	P06703	S10A6_HUMAN	reviewed	Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein) (PRA) (S100 calcium-binding protein A6)	S100A6 CACY	Homo sapiens (Human)	90
1k9u	O82040	POLC7_PHLPR	reviewed	Polcalcin Phl p 7 (Calcium-binding pollen allergen Phl p 7) (Protein P7) (allergen Phl p 7)	P7	Phleum pratense (Common timothy)	78
1kc3	P26392	RMLD_SALTY	reviewed	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)	rfbD rmlD STM2096	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	299
1kc7	P22983	PPDK_CLOSY	reviewed	Pyruvate, phosphate dikinase (EC 2.7.9.1) (Pyruvate, orthophosphate dikinase)	ppdK	Clostridium symbiosum (Bacteroides symbiosus)	874
1kcm	P53810	PIPNA_MOUSE	reviewed	Phosphatidylinositol transfer protein alpha isoform (PI-TP-alpha) (PtdIns transfer protein alpha) (PtdInsTP alpha)	Pitpna Pitpn	Mus musculus (Mouse)	271
1kep	P95780	RMLB_STRMU	reviewed	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	rmlB SMU_1457	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)	348
1kep	Q8GIP9	Q8GIP9_STRSU	unreviewed	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	rmlB rfbB A6M16_03315 APQ97_03200 CWI26_07360 CWM22_07885 EI219_02305 ELX55_09515 ERS132370_01395 ERS132374_01253 ERS132410_01682 ERS132414_00580 ERS132421_00412 ERS132431_00441 ERS132440_01438 ERS132444_01827 ERS132457_01850 ERS132458_00971 ERS132461_00211 ERS132462_01604 ERS132502_01610 ERS132531_00495 ERS132536_02274 LI88_04195	Streptococcus suis	348
1keu	P26391	RMLB_SALTY	reviewed	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	rfbB STM2097	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	361
1kji	P33221	PURT_ECOLI	reviewed	Formate-dependent phosphoribosylglycinamide formyltransferase (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (EC 2.1.2.-) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	purT b1849 JW1838	Escherichia coli (strain K12)	392
1ko5	P46859	GNTK_ECOLI	reviewed	Thermoresistant gluconokinase (EC 2.7.1.12) (Gluconate kinase 2)	gntK b3437 JW3400	Escherichia coli (strain K12)	175
1kp0	Q7SIB5	Q7SIB5_9PAST	unreviewed	Hydrolase		Actinobacillus	402
1ksi	Q43077	AMO_PEA	reviewed	Primary amine oxidase (EC 1.4.3.21) (Amine oxidase [copper-containing])		Pisum sativum (Garden pea)	674
1kso	P33764	S10A3_HUMAN	reviewed	Protein S100-A3 (Protein S-100E) (S100 calcium-binding protein A3)	S100A3 S100E	Homo sapiens (Human)	101
1ktn	P0A6L0	DEOC_ECOLI	reviewed	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	deoC dra thyR b4381 JW4344	Escherichia coli (strain K12)	259
1l1q	Q967M2	Q967M2_GIAIN	unreviewed	Adenine phosphoribosyltransferase	DHA2_112885	Giardia intestinalis (Giardia lamblia)	180
1l2t	Q58206	Y796_METJA	reviewed	Uncharacterized ABC transporter ATP-binding protein MJ0796	MJ0796	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	235
1l2u	P08244	PYRF_ECOLI	reviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF b1281 JW1273	Escherichia coli (strain K12)	245
1l5b	P81180	CVN_NOSEL	reviewed	Cyanovirin-N (CV-N)		Nostoc ellipsosporum	101
1l5z	P13632	DCTD_RHIME	reviewed	C4-dicarboxylate transport transcriptional regulatory protein DctD	dctD RB1525 SMb20613	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	460
1lby	O30298	BSUHB_ARCFU	reviewed	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase (FBPase/IMPase) (EC 3.1.3.11) (EC 3.1.3.25) (Inositol-1-phosphatase) (I-1-Pase)	suhB AF_2372	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	252
1lc7	P97084	COBD_SALTY	reviewed	Threonine-phosphate decarboxylase (EC 4.1.1.81) (L-threonine-O-3-phosphate decarboxylase)	cobD STM0644	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	364
