PDB ID	Symmetry group (M - monomer; Dna - dihedral with heterologous interfaces; Dns - dihedral with only isologous interfaces; Ts - tetrahedral with isologous interfaces; Ta - tetrahedral with only heterologous interfaces; O* - 4 different octahedral topologies)	Number of subunits	Number of unique subunits (ie row of the periodic table)	Included in non-redundant set	Year of release	Quaternary structure assignment (C - correct; E - error)	Quaternary structure topology index (complexes with the same index have the same reduced topology)	List of interfaces	List of interface types (all identical subunits are given the same code)	List of interface sizes (Angstroms^2)	List of interface types (I- isologous homomeric; H - heterologous homomeric; T - heteromeric)	Interfaces included in the reduced topology (1 - yes; 0 - no)	
1r0b	D3a	12	2	0	2004	C	17	"A-B,A-C,A-D,A-H,B-C,B-E,B-I,C-F,C-G,D-J,E-K,F-L,G-H,G-I,G-J,H-I,H-K,I-L"	"A-A,A-A,A-F,A-A,A-A,A-F,A-A,A-F,A-A,F-F,F-F,F-F,A-A,A-A,A-F,A-A,A-F,A-F"	"2237.9,2237.9,1553.4,337.6,2237.9,1553.4,337.6,1553.4,337.6,2049.5,2049.5,2049.5,2237.9,2237.9,1553.4,2237.9,1553.4,1553.4"	"H,H,T,I,H,T,I,T,I,I,I,I,H,H,T,H,T,T"	"1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1"	
1r0c	D3a	12	2	1	2004	C	17	"A-B,A-E,A-G,A-H,A-I,B-D,B-G,C-D,C-G,C-I,C-J,C-K,D-I,E-F,E-I,E-K,E-L,F-H,F-K,G-H,G-K,I-J,J-L,K-L"	"A-F,A-A,A-A,A-F,A-A,F-F,F-A,A-F,A-A,A-A,A-F,A-A,F-A,A-F,A-A,A-A,A-F,F-F,F-A,A-F,A-A,A-F,F-F,A-F"	"1267.0,2090.5,639.6,500.3,2090.5,2224.9,500.3,1267.0,2090.5,639.6,500.3,2090.5,500.3,1267.0,2090.5,639.6,500.3,2224.9,500.3,1267.0,2090.5,1267.0,2224.9,1267.0"	"T,H,I,T,H,I,T,T,H,I,T,H,T,T,H,I,T,I,T,T,H,T,I,T"	"1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1"	
1r0d	M	1	1	1	2004	-	-						
1r0e	C2	2	1	0	2004	C	1	A-B	A-A	2750.3	I	1	
1r0f	M	1	1	0	2004	C	-						
1r0g	M	1	1	0	2004	C	-						
1r0h	M	1	1	0	2004	C	-						
1r0i	M	1	1	0	2004	C	-						
1r0j	M	1	1	0	2004	C	-						
1r0k	C2	2	1	0	2004	-	1	A-B	A-A	3499.8	I	1	
1r0l	C2	2	1	0	2004	-	1	A-B	A-A	3596.6	I	1	
1r0m	C2	2	1	0	2004	-	1	A-B	A-A	2377	I	1	
1r0p	M	1	1	1	2003	C	-						
1r0q	M	1	1	0	2004	C	-						
1r0r	M	2	2	1	2003	-	2	A-B	A-B	1431.9	T	1	
1r0s	C2	2	1	0	2004	-	1	A-B	A-A	2869.7	I	1	
1r0u	M	1	1	1	2003	-	-						
1r0v	C2	2	1	0	2004	-	1	A-B	A-A	5103.3	I	1	
1r0w	M	1	1	0	2003	-	-						
1r0x	M	1	1	0	2003	-	-						
1r0y	M	1	1	0	2003	-	-						
1r0z	M	1	1	1	2003	-	-						
1r10	M	1	1	0	2003	-	-						
1r11	C2	2	1	0	2004	-	1	A-B	A-A	6286.7	I	1	
1r12	C2	2	1	0	2004	-	1	A-B	A-A	2814.6	I	1	
1r13	C3	3	1	0	2003	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1527.6,1527.6,1527.6"	"H,H,H"	"1,1,1"	
1r14	C3	3	1	0	2003	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1567.1,1567.1,1567.1"	"H,H,H"	"1,1,1"	
1r15	C2	2	1	0	2004	-	1	A-B	A-A	2895	I	1	
1r16	C2	2	1	0	2004	-	1	A-B	A-A	2810.3	I	1	
1r17	M	1	1	1	2003	-	-						
1r18	M	1	1	0	2003	C	-						
1r19	M	1	1	0	2003	-	-						
1r1c	M	1	1	0	2003	-	-						
1r1d	C2	2	1	1	2004	C	1	A-B	A-A	1039.9	I	1	
1r1h	M	1	1	1	2004	-	-						
1r1i	M	1	1	0	2004	-	-						
1r1j	M	1	1	0	2004	-	-						
1r1k	M	2	2	1	2003	-	2	A-B	A-B	2594.7	T	1	
1r1m	M	1	1	1	2004	-	-						
1r1n	M	1	1	0	2004	-	-						
1r1o	C3	3	1	0	2003	C	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1833.4,1833.4,1833.4"	"H,H,H"	"1,1,1"	
1r1p	M	1	1	0	2004	-	-						
1r1q	M	1	1	0	2004	-	-						
1r1r	M	1	1	0	1998	-	-						
1r1s	M	1	1	0	2004	-	-						
1r1t	C2	2	1	0	2004	-	1	A-B	A-A	3793.2	I	1	
1r1u	C2	2	1	0	2004	-	1	A-B	A-A	3049.6	I	1	
1r1v	C2	2	1	1	2004	-	1	A-B	A-A	3176.3	I	1	
1r1w	M	1	1	0	2003	C	-						
1r1x	C2	4	2	0	2003	-	3	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-D,A-A,A-D,D-A,D-D,A-D"	"1744.4,473.8,1142.6,1142.6,504.8,1744.4"	"T,I,T,T,I,T"	"1,0,1,1,0,1"	
1r1y	C2	4	2	0	2003	-	3	"A-B,A-C,A-D,B-C,C-D"	"A-D,A-A,A-D,D-A,A-D"	"1681.3,582.7,1348.5,1348.5,1681.3"	"T,I,T,T,T"	"1,0,1,1,1"	
1r1z	M	1	1	1	2003	-	-						
1r20	M	2	2	0	2003	-	2	A-B	A-B	2393.8	T	1	
1r22	C2	2	1	0	2004	-	1	A-B	A-A	3772.8	I	1	
1r23	C2	2	1	1	2004	-	1	A-B	A-A	4117.1	I	1	
1r26	M	1	1	1	2003	C	-						
1r27	M	2	2	1	2004	C	2	A-B	A-B	9892	T	1	
1r28	C2	2	1	0	2003	-	1	A-B	A-A	3503.5	I	1	
1r29	C2	2	1	0	2003	-	1	A-B	A-A	3719.3	I	1	
1r2b	C2	2	1	1	2003	-	1	A-B	A-A	3828.7	I	1	
1r2c	M	4	4	1	2004	-	33	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-B,A-C,A-D,B-C,B-D,C-D"	"3483.9,5520.1,647.8,8608.8,3740.5,5578.3"	"T,T,T,T,T,T"	"0,1,0,1,0,1"	
1r2d	M	1	1	0	2004	-	-						
1r2e	M	1	1	0	2004	-	-						
1r2f	C2	2	1	0	1999	-	1	A-B	A-A	3533.7	I	1	
1r2g	M	1	1	0	2004	-	-						
1r2h	M	1	1	0	2004	-	-						
1r2i	M	1	1	0	2004	-	-						
1r2j	M	1	1	1	2003	-	-						
1r2k	C2	2	1	0	2004	E	1	A-B	A-A	1042.3	I	1	
1r2m	M	1	1	0	2004	-	-						
1r2q	M	1	1	1	2003	C	-						
1r2r	C2	2	1	0	2003	-	1	A-B	A-A	3469.3	I	1	
1r2s	C2	2	1	0	2003	-	1	A-B	A-A	3462.6	I	1	
1r2t	C2	2	1	0	2003	C	1	A-B	A-A	3503.2	I	1	
1r30	C2	2	1	1	2004	-	1	A-B	A-A	2388.3	I	1	
1r31	C2	2	1	0	2003	C	1	A-B	A-A	9742	I	1	
1r33	M	1	1	0	2004	-	-						
1r34	M	1	1	0	2004	-	-						
1r35	C2	2	1	0	2004	E	1	A-B	A-A	244.3	I	1	
1r37	D2	4	1	0	2004	C	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"3935.3,1329.2,1424.2,1424.2,1329.2,3935.3"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
1r38	C2	2	1	0	2004	-	1	A-B	A-A	2498	I	1	
1r39	M	1	1	0	2004	C	-						
1r3c	M	1	1	0	2004	C	-						
1r3d	M	1	1	1	2004	-	-						
1r3f	M	1	1	0	2003	-	-						
1r3h	M	2	2	0	2004	-	2	A-B	A-B	2233	T	1	
1r3m	M	1	1	0	2003	-	-						
1r3n	C2	2	1	0	2003	-	1	A-B	A-A	4587.7	I	1	
1r3u	D2	4	1	0	2004	-	4	"A-B,A-C,B-D,C-D"	"A-A,A-A,A-A,A-A"	"1627.2,2841.3,2841.3,1627.2"	"I,I,I,I"	"1,1,1,1"	
1r42	M	1	1	1	2004	-	-						
1r43	C2	2	1	1	2003	-	1	A-B	A-A	4566.5	I	1	
1r44	M	1	1	1	2004	-	-						
1r45	M	1	1	0	2004	-	-						
1r46	C2	2	1	1	2004	C	1	A-B	A-A	2255.1	I	1	
1r47	C2	2	1	0	2004	C	1	A-B	A-A	2171	I	1	
1r4b	M	1	1	0	2004	-	-						
1r4c	C2	2	1	0	2004	-	1	A-B	A-A	6259.1	I	1	
1r4f	C2	2	1	0	2004	C	1	A-B	A-A	1882.4	I	1	
1r4l	M	1	1	1	2004	-	-						
1r4m	M	3	3	0	2003	-	5	"A-B,A-C,B-C"	"A-B,A-C,B-C"	"7046.5,800.1,2487.5"	"T,T,T"	"1,0,1"	
1r4n	M	3	3	0	2003	-	5	"A-B,A-C,B-C"	"A-B,A-C,B-C"	"7093.8,891.9,2428.6"	"T,T,T"	"1,0,1"	
1r4s	D2	4	1	0	2004	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"5526.6,781.9,5220.2,5220.2,781.9,5526.6"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
1r4u	D2	4	1	0	2004	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"5549.0,794.3,5244.7,5244.7,794.3,5549.0"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
1r4v	M	1	1	1	2004	-	-						
1r4w	C2	2	1	1	2004	-	1	A-B	A-A	2883.4	I	1	
1r4x	M	1	1	1	2003	-	-						
1r4z	M	1	1	0	2004	-	-						
1r50	M	1	1	0	2004	-	-						
1r51	D2	4	1	0	2004	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"5549.2,764.1,5281.6,5281.6,764.1,5549.2"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
1r52	D2	4	1	0	2003	C	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"4657.4,1517.7,2202.3,2202.3,1517.7,4657.4"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
1r53	D2	4	1	1	2003	C	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"4931.3,2235.2,1520.7,1520.7,2235.2,4931.3"	"I,I,I,I,I,I"	"1,1,0,0,1,1"	
1r54	M	1	1	1	2004	-	-						
1r55	M	1	1	0	2004	-	-						
1r56	D2	4	1	0	2004	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"5550.7,5205.1,780.8,780.8,5205.1,5550.7"	"I,I,I,I,I,I"	"1,1,0,0,1,1"	
1r58	M	1	1	0	2004	C	-						
1r59	C2	2	1	0	2004	-	1	A-B	A-A	1767.2	I	1	
1r5a	C2	2	1	1	2003	C	1	A-B	A-A	2703	I	1	
1r5b	M	1	1	1	2004	C	-						
1r5c	C2	2	1	0	2004	C	1	A-B	A-A	3862.3	I	1	
1r5d	C2	2	1	0	2004	C	1	A-B	A-A	3830	I	1	
1r5g	M	1	1	0	2004	C	-						
1r5h	M	1	1	0	2004	C	-						
1r5j	C2	2	1	0	2004	-	1	A-B	A-A	3081.3	I	1	
1r5k	C2	2	1	0	2004	-	1	A-B	A-A	2988.6	I	1	
1r5l	M	1	1	0	2003	-	-						
1r5m	M	1	1	1	2005	-	-						
1r5n	M	1	1	0	2004	C	-						
1r5o	M	1	1	0	2004	C	-						
1r5p	C2	2	1	0	2004	-	1	A-B	A-A	1572.6	I	1	
1r5q	M	1	1	0	2004	E	-						
1r5t	D2	4	1	1	2004	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"1727.4,2641.9,843.2,843.2,2641.9,1727.4"	"I,I,I,I,I,I"	"1,1,0,0,1,1"	
1r5w	C2	4	2	0	2004	-	3	"A-B,A-C,A-D,B-C,C-D"	"A-D,A-A,A-D,D-A,A-D"	"4875.4,305.6,480.4,480.4,4875.4"	"T,I,T,T,T"	"1,0,1,1,1"	
1r5x	M	1	1	0	2003	-	-						
1r5y	M	1	1	0	2004	-	-						
1r5z	M	1	1	1	2004	-	-						
1r61	C2	2	1	1	2004	-	1	A-B	A-A	4581.3	I	1	
1r62	M	1	1	1	2004	-	-						
1r64	M	1	1	1	2004	-	-						
1r65	C2	2	1	0	2004	-	1	A-B	A-A	5991.2	I	1	
1r67	M	1	1	0	2003	C	-						
1r69	M	1	1	0	1989	E	-						
1r6a	M	1	1	0	2004	-	-						
1r6b	M	1	1	0	2004	-	-						
1r6c	M	1	1	0	2005	-	-						
1r6f	M	1	1	1	2004	-	-						
1r6g	M	1	1	0	2005	-	-						
1r6j	M	1	1	0	2004	C	-						
1r6k	M	1	1	0	2004	C	-						
1r6l	D3s	6	1	0	2004	C	8	"A-E,A-F,B-D,B-E,C-D,C-F"	"F-F,F-F,F-F,F-F,F-F,F-F"	"2844.1,2342.1,2844.1,2342.1,2342.1,2844.1"	"I,I,I,I,I,I"	"1,1,1,1,1,1"	
1r6m	D3s	6	1	0	2004	C	8	"A-E,A-F,B-D,B-E,C-D,C-F"	"F-F,F-F,F-F,F-F,F-F,F-F"	"2967.6,2361.3,2967.6,2361.3,2361.3,2967.6"	"I,I,I,I,I,I"	"1,1,1,1,1,1"	
1r6n	M	1	1	1	2004	C	-						
1r6o	M	2	2	0	2005	-	2	A-B	A-B	2585.8	T	1	
1r6q	M	2	2	0	2005	C	2	A-B	A-B	2563.5	T	1	
1r6t	C2	2	1	1	2004	-	1	A-B	A-A	3063.8	I	1	
1r6u	C2	2	1	0	2004	-	1	A-B	A-A	3053.7	I	1	
1r6v	M	1	1	1	2004	-	-						
1r6w	C2	2	1	0	2003	E	1	A-B	A-A	1197	I	1	
1r6x	M	1	1	1	2003	C	-						
1r6y	C2	2	1	0	2004	-	1	A-B	A-A	2728	I	1	
1r74	D2	4	1	0	2004	C	4	"A-B,A-C,B-D,C-D"	"A-A,A-A,A-A,A-A"	"4609.7,1161.9,1161.9,4609.7"	"I,I,I,I"	"1,1,1,1"	
1r75	M	1	1	1	2003	-	-						
1r76	M	1	1	1	2004	-	-						
1r77	M	1	1	1	2005	-	-						
1r78	M	1	1	0	2004	C	-						
1r7a	C2	2	1	1	2004	C	1	A-B	A-A	1969.5	I	1	
1r7h	C2	2	1	1	2004	C	1	A-B	A-A	4179.9	I	1	
1r7i	C2	2	1	0	2003	C	1	A-B	A-A	9341.2	I	1	
1r7j	C2	2	1	1	2004	-	1	A-B	A-A	2061.7	I	1	
1r7l	C2	2	1	1	2004	-	1	A-B	A-A	1613.1	I	1	
1r7o	M	1	1	0	2003	C	-						
1r7r	C6	6	1	0	2003	-	32	"A-E,A-F,B-D,B-F,C-D,C-E"	"F-F,F-F,F-F,F-F,F-F,F-F"	"4179.1,4179.1,4179.1,4179.1,4179.1,4179.1"	"H,H,H,H,H,H"	"1,1,1,1,1,1"	
1r7s	M	1	1	0	2004	-	-						
1r7t	M	1	1	0	2004	E	-						
1r7u	M	1	1	0	2004	E	-						
1r7v	M	1	1	0	2004	E	-						
1r7x	M	1	1	0	2004	E	-						
1r7y	M	1	1	0	2004	E	-						
1r80	M	1	1	0	2004	E	-						
1r81	M	1	1	0	2004	E	-						
1r82	M	1	1	0	2004	E	-						
1r85	M	1	1	0	2004	-	-						
1r86	M	1	1	0	2005	-	-						
1r87	M	1	1	0	2004	-	-						
1r88	M	1	1	1	2003	-	-						
1r89	C2	2	1	0	2003	C	1	A-B	A-A	5084.4	I	1	
1r8a	C2	2	1	0	2003	C	1	A-B	A-A	5156.8	I	1	
1r8b	C2	2	1	1	2003	C	1	A-B	A-A	5067.7	I	1	
1r8c	C2	2	1	0	2003	C	1	A-B	A-A	5135.8	I	1	
1r8g	C2	2	1	0	2004	-	1	A-B	A-A	3551.1	I	1	
1r8h	C2	2	1	1	2003	-	1	A-B	A-A	737.6	I	1	
1r8i	M	1	1	1	2004	-	-						
1r8j	C2	2	1	0	2004	-	1	A-B	A-A	6981.9	I	1	
1r8k	C2	2	1	0	2003	-	1	A-B	A-A	3450	I	1	
1r8l	M	1	1	0	2004	-	-						
1r8m	M	1	1	1	2004	-	-						
1r8n	M	1	1	1	2004	-	-						
1r8o	M	2	2	1	2004	-	2	A-B	A-B	4616.1	T	1	
1r8q	M	2	2	1	2004	-	2	A-B	A-B	2771.4	T	1	
1r8s	M	2	2	0	2004	-	2	A-B	A-B	3001.1	T	1	
1r8w	C2	2	1	1	2004	C	1	A-B	A-A	2498.3	I	1	
1r8x	D2	4	1	0	2004	C	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"4556.6,359.7,2011.7,2011.7,359.7,4556.6"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
1r8y	D2	4	1	0	2004	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"4551.3,405.9,1970.3,1970.3,382.0,4551.3"	"I,I,I,I,H,I"	"1,0,1,1,0,1"	
1r94	D2	4	1	0	2003	-	4	"A-B,A-C,B-D,C-D"	"A-A,A-A,A-A,A-A"	"661.8,2261.0,2261.0,661.8"	"I,I,I,I"	"1,1,1,1"	
1r95	D2	4	1	1	2003	-	4	"A-B,A-C,B-D,C-D"	"A-A,A-A,A-A,A-A"	"868.5,2102.4,2102.4,868.5"	"I,I,I,I"	"1,1,1,1"	
1r9c	C2	2	1	0	2004	-	1	A-B	A-A	3750.1	I	1	
1r9d	C2	2	1	0	2004	C	1	A-B	A-A	2441.7	I	1	
1r9e	C2	2	1	0	2004	C	1	A-B	A-A	2459.3	I	1	
1r9g	M	1	1	0	2004	-	-						
1r9h	M	1	1	1	2003	C	-						
1r9j	C2	2	1	0	2004	-	1	A-B	A-A	8379.4	I	1	
1r9l	M	1	1	1	2004	-	-						
1r9m	C2	2	1	0	2004	-	1	A-B	A-A	4515.9	I	1	
1r9n	C2	2	1	0	2005	-	1	A-C	A-A	4495.5	I	1	
1r9o	M	1	1	0	2004	C	-						
1r9q	M	1	1	0	2004	-	-						
1r9w	M	1	1	1	2003	C	-						
1r9x	D3a	6	1	1	2004	C	9	"A-B,A-C,A-D,B-C,B-F,C-E,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"1502.4,1502.4,7040.0,1502.4,7040.0,7040.0,1502.4,1502.4,1502.4"	"H,H,I,H,I,I,H,H,H"	"1,1,1,1,1,1,1,1,1"	
1r9y	D3a	6	1	0	2004	C	9	"A-B,A-C,A-D,B-C,B-F,C-E,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"1494.8,1494.8,7049.1,1494.8,7049.1,7049.1,1494.8,1494.8,1494.8"	"H,H,I,H,I,I,H,H,H"	"1,1,1,1,1,1,1,1,1"	
1r9z	D3a	6	1	0	2004	C	9	"A-B,A-C,A-D,B-C,B-F,C-E,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"1493.9,1493.9,7059.1,1493.9,7059.1,7059.1,1493.9,1493.9,1493.9"	"H,H,I,H,I,I,H,H,H"	"1,1,1,1,1,1,1,1,1"	
1ra0	D3a	6	1	0	2004	C	9	"A-B,A-C,A-D,B-C,B-F,C-E,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"1588.8,1588.8,6350.0,1588.8,6350.0,6350.0,1588.8,1588.8,1588.8"	"H,H,I,H,I,I,H,H,H"	"1,1,1,1,1,1,1,1,1"	
1ra1	M	1	1	0	1996	C	-						
1ra2	M	1	1	0	1996	C	-						
1ra3	M	1	1	0	1996	C	-						
1ra4	M	1	1	0	2004	-	-						
1ra5	D3a	6	1	0	2004	C	9	"A-B,A-C,A-D,B-C,B-F,C-E,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"1544.5,1544.5,6305.7,1544.5,6305.7,6305.7,1544.5,1544.5,1544.5"	"H,H,I,H,I,I,H,H,H"	"1,1,1,1,1,1,1,1,1"	
1ra6	M	1	1	0	2004	-	-						
1ra7	M	1	1	0	2004	-	-						
1ra8	M	1	1	0	1997	C	-						
1ra9	M	1	1	1	1996	C	-						
1rai	D3a	12	2	0	1994	C	17	"A-B,A-E,A-G,A-H,A-I,B-D,B-G,C-D,C-G,C-I,C-J,C-K,D-I,E-F,E-I,E-K,E-L,F-H,F-K,G-H,G-K,I-J,J-L,K-L"	"A-F,A-A,A-A,A-F,A-A,F-F,F-A,A-F,A-A,A-A,A-F,A-A,F-A,A-F,A-A,A-A,A-F,F-F,F-A,A-F,A-A,A-F,F-F,A-F"	"1364.0,2136.3,640.2,521.7,2136.3,2110.2,521.7,1364.0,2136.3,640.2,521.7,2136.3,521.7,1364.0,2136.3,640.2,521.7,2110.2,521.7,1364.0,2136.3,1364.0,2110.2,1364.0"	"T,H,I,T,H,I,T,T,H,I,T,H,T,T,H,I,T,I,T,T,H,T,I,T"	"1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1"	
1raj	M	1	1	0	2004	-	-						
1rak	D3a	6	1	0	2004	C	9	"A-B,A-C,A-D,B-C,B-F,C-E,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"1561.4,1561.4,6291.9,1561.4,6291.9,6291.9,1561.4,1561.4,1561.4"	"H,H,I,H,I,I,H,H,H"	"1,1,1,1,1,1,1,1,1"	
1ral	M	1	1	0	1994	C	-						
1rao	M	1	1	0	2004	C	-						
1rap	C2	2	1	0	1993	E	1	A-B	A-A	788.6	I	1	
1raq	C2	2	1	0	1993	E	1	A-B	A-A	732.2	I	1	
1rar	M	1	1	0	1993	C	-						
1ras	M	1	1	0	1993	C	-						
1rat	M	1	1	0	1993	C	-						
1rav	D2	4	1	1	1998	C	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"282.4,1114.8,3819.3,3819.3,1114.8,282.4"	"I,I,I,I,I,I"	"0,1,1,1,1,0"	
1ray	M	1	1	0	1993	C	-						
1raz	M	1	1	0	1993	C	-						
1rb0	M	1	1	0	2004	C	-						
1rb2	C2	2	1	0	1997	E	1	A-B	A-A	1188.9	I	1	
1rb3	C2	2	1	0	1997	E	1	A-B	A-A	1272.8	I	1	
1rb7	C2	2	1	0	2004	C	1	A-B	A-A	2903.8	I	1	
1rb9	M	1	1	0	1999	C	-						
1rba	C2	2	1	0	1994	C	1	A-B	A-A	6823.4	I	1	
1rbl	D4a	16	2	0	1994	-	13	"A-B,A-C,A-E,A-G,A-H,A-M,A-N,B-E,B-F,B-G,B-N,C-D,C-G,C-H,C-M,C-N,C-O,D-H,D-M,D-O,D-P,E-F,E-G,E-I,E-K,E-L,F-I,F-J,F-K,G-H,G-K,G-L,H-L,I-J,I-K,I-M,I-O,I-P,J-M,J-N,J-O,K-L,K-O,K-P,L-P,M-N,M-O,O-P"	"K-F,K-K,K-K,K-K,K-F,K-K,K-F,F-K,F-F,F-K,F-F,K-F,K-K,K-F,K-K,K-F,K-K,F-F,F-K,F-K,F-F,K-F,K-K,K-K,K-K,K-F,F-K,F-F,F-K,K-F,K-K,K-F,F-F,K-F,K-K,K-K,K-K,K-F,F-K,F-F,F-K,K-F,K-K,K-F,F-F,K-F,K-K,K-F"	"3237.2,9624.6,985.3,923.5,934.1,985.3,1390.6,1390.6,572.0,934.1,572.0,3237.2,985.3,1390.6,923.5,934.1,985.3,572.0,934.1,1390.6,572.0,3237.2,9624.6,985.3,923.5,934.1,1390.6,572.0,934.1,3237.2,985.3,1390.6,572.0,3237.2,9624.6,985.3,923.5,934.1,1390.6,572.0,934.1,3237.2,985.3,1390.6,572.0,3237.2,9624.6,3237.2"	"T,I,H,I,T,H,T,T,H,T,H,T,H,T,I,T,H,H,T,T,H,T,I,H,I,T,T,H,T,T,H,T,H,T,I,H,I,T,T,H,T,T,H,T,H,T,I,T"	"1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1"	
1rbm	M	1	1	0	2005	-	-						
1rbn	M	1	1	0	1994	C	-						
1rbo	D4a	16	2	0	1997	-	13	"A-B,A-C,A-G,A-H,A-K,A-L,A-M,B-C,B-D,B-H,B-K,C-D,C-E,C-I,C-J,C-K,D-E,D-F,D-I,E-F,E-G,E-I,E-O,E-P,F-G,F-H,F-O,G-H,G-M,G-N,G-O,H-M,I-J,I-K,I-O,I-P,J-K,J-L,J-P,K-L,K-M,L-M,L-N,M-N,M-O,N-O,N-P,O-P"	"K-F,K-K,K-K,K-F,K-K,K-F,K-K,F-K,F-F,F-F,F-K,K-F,K-K,K-K,K-F,K-K,F-K,F-F,F-K,K-F,K-K,K-K,K-K,K-F,F-K,F-F,F-K,K-F,K-K,K-F,K-K,F-K,K-F,K-K,K-K,K-F,F-K,F-F,F-F,K-F,K-K,F-K,F-F,K-F,K-K,F-K,F-F,K-F"	"3818.9,1060.9,1060.9,1877.8,953.1,1006.5,9570.6,1877.8,705.9,705.9,1006.5,3818.9,1060.9,953.1,1006.5,9570.6,1877.8,705.9,1006.5,3818.9,1060.9,9570.6,953.1,1006.5,1877.8,705.9,1006.5,3818.9,953.1,1006.5,9570.6,1006.5,3818.9,1060.9,1060.9,1877.8,1877.8,705.9,705.9,3818.9,1060.9,1877.8,705.9,3818.9,1060.9,1877.8,705.9,3818.9"	"T,H,H,T,I,T,I,T,H,H,T,T,H,I,T,I,T,H,T,T,H,I,I,T,T,H,T,T,I,T,I,T,T,H,H,T,T,H,H,T,H,T,H,T,H,T,H,T"	"1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1"	
1rbp	M	1	1	0	1991	C	-						
1rbq	M	1	1	0	2005	-	-						
1rbr	M	1	1	0	1994	C	-						
1rbs	M	1	1	0	1994	C	-						
1rbt	M	1	1	1	1994	C	-						
1rbu	M	1	1	0	1994	C	-						
1rbv	M	1	1	0	1994	C	-						
1rbw	M	1	1	0	1995	C	-						
1rbx	M	1	1	0	1995	C	-						
1rby	M	1	1	0	2005	-	-						
1rbz	M	1	1	0	2005	-	-						
1rc0	M	1	1	0	2005	-	-						
1rc1	M	1	1	0	2005	-	-						
1rc2	C4	4	1	0	2003	-	10	"A-C,A-D,B-C,B-D"	"A-A,A-A,A-A,A-A"	"3429.8,3429.8,3429.8,3429.8"	"H,H,H,H"	"1,1,1,1"	
1rc4	M	1	1	0	1997	C	-						
1rc5	C2	2	1	0	2004	-	1	A-B	A-A	2340.7	I	1	
1rc6	M	1	1	1	2003	-	-						
1rc9	M	1	1	1	2005	-	-						
1rca	M	1	1	0	1995	C	-						
1rcb	C2	2	1	0	1993	E	1	A-B	A-A	1667.9	I	1	
